month,northward_wind_at_10_metres,northward_wind_stress,sea_surface_temperature,EBUS,Region
2,-0.7060568546658359,-0.0008648898045173945,283.3923627619279,California,Poleward
3,0.6986737092002292,0.0008707972372115286,283.309964284005,California,Poleward
4,-1.497246119432117,-0.002032257119576381,283.8118476961754,California,Poleward
5,-3.56324807036171,-0.004584190855571202,285.2356717987221,California,Poleward
6,-4.584180506675515,-0.006111550271827369,286.9990970409077,California,Poleward
7,-6.325216388405071,-0.008522012590245156,288.38603566414605,California,Poleward
8,-5.5921473861901125,-0.007291780597773606,289.17883064516127,California,Poleward
9,-4.123115523298817,-0.005451207812531657,289.2185719069403,California,Poleward
10,-1.8277010089592478,-0.0023858434541812706,287.8254199770269,California,Poleward
11,0.5871801163913544,0.0007909416795380638,286.12995569568085,California,Poleward
12,0.9868783850687154,0.0013479459313988679,284.5646737450544,California,Poleward
1,6.683187940431973,0.008435048283507133,292.42415459557566,Benguela,Poleward
2,6.336506858200048,0.00774796604198125,292.5803514139928,Benguela,Poleward
3,5.7572123518113365,0.00695695993787494,292.0693094115985,Benguela,Poleward
4,4.686501695035926,0.005476997063499939,290.9003196047859,Benguela,Poleward
5,2.2534243055908894,0.002475725638675497,290.2257410130299,Benguela,Poleward
6,1.630674989953026,0.0017692535322646598,289.4671471662582,Benguela,Poleward
7,2.4045469036201284,0.0026816897806931873,288.7308997724899,Benguela,Poleward
8,2.617430188087243,0.0029557635089030696,288.5110217996627,Benguela,Poleward
9,4.0273531014502275,0.004748915582177659,288.73948659973786,Benguela,Poleward
10,5.422929055472168,0.0066075416571462495,289.46328702871375,Benguela,Poleward
11,5.9483675489616195,0.007416216640932863,290.3951731964349,Benguela,Poleward
12,6.118247464998644,0.007573104273593067,291.66818523774054,Benguela,Poleward
1,6.855065154358559,0.00853057708884334,291.95689419971933,Benguela,Central
2,6.723678931733349,0.008286950600212246,292.25672618301314,Benguela,Central
3,6.9628515149497865,0.008618540602682818,291.7653600132295,Benguela,Central
4,6.4259504662386435,0.007858675178221263,290.78363663412824,Benguela,Central
5,5.596969043754648,0.006629897762103851,289.9193080810002,Benguela,Central
6,5.085617050188225,0.006084219793534546,289.0306823082157,Benguela,Central
7,5.439785065112091,0.006587903353956503,288.3495857055606,Benguela,Central
8,6.049479853503076,0.007526841831834111,287.91633178108304,Benguela,Central
9,6.654178513714186,0.008502184939684887,287.8704198843412,Benguela,Central
10,7.172158531353554,0.009209562505945726,288.43582494468325,Benguela,Central
11,7.164233708944794,0.009170751553296974,289.53224277712263,Benguela,Central
12,6.903915694000643,0.008616013776535888,290.9246941992967,Benguela,Central
1,5.197586245519712,0.005645871968503928,294.40398320307315,Benguela,Equatorward
2,5.305266787912768,0.005842271682395958,295.3408080483051,Benguela,Equatorward
3,6.153402179207359,0.007059741694523801,295.1216248247295,Benguela,Equatorward
4,6.633558921593612,0.007879552873107884,294.0969454893261,Benguela,Equatorward
5,6.7467097380470875,0.008071656004229592,292.53561991300774,Benguela,Equatorward
6,6.214621324273466,0.007419830779834036,291.07265778550726,Benguela,Equatorward
7,5.8171510462908165,0.006981501484704816,290.13726844073574,Benguela,Equatorward
8,6.485726381901285,0.007977547458262492,289.38337798063515,Benguela,Equatorward
9,5.936557734985558,0.007130237859993711,289.3525349901406,Benguela,Equatorward
10,6.543160331068528,0.007878172232925262,290.37478240922235,Benguela,Equatorward
11,6.607455960117227,0.007899432530404581,291.8801071941444,Benguela,Equatorward
12,5.995846049743514,0.006793285964756243,293.0346084001228,Benguela,Equatorward
